p,minPageRank,maxPageRank
0.05,0.00976265,0.0102753
0.1,0.00952531,0.0105503
0.15,0.00928795,0.0108251
0.2,0.00905055,0.0110999
0.25,0.00881312,0.0113746
0.3,0.00857552,0.0116493
0.35,0.00833768,0.0119244
0.4,0.00809953,0.0121999
0.45,0.00786107,0.0124756
0.5,0.00762206,0.0127517
0.55,0.00738235,0.0130285
0.6,0.00714175,0.0133061
0.65,0.00690037,0.0135846
0.7,0.00665816,0.0138636
0.75,0.00641533,0.0141435
0.8,0.00617189,0.0144244
0.85,0.00592755,0.0147059
0.9,0.00568256,0.0149886
0.95,0.00543593,0.0152719
